EndUse,Run name,FuelType,0
Fans,d_b_2126_dg0_vav,Natural Gas,0
Fans,d_c_2126_sg1_vav,Electricity,128.89
Fans,d_c_2126_sg1_vav,Natural Gas,0
Fans,d_d_2126_sg2_vav,Electricity,94.56
Fans,d_d_2126_sg2_vav,Natural Gas,0
Fans,d_e_2126_dg1_vav,Electricity,134.61
Fans,d_e_2126_dg1_vav,Natural Gas,0
Fans,d_f_2126_dg2_vav,Electricity,111.07
Fans,d_f_2126_dg2_vav,Natural Gas,0
Fans,d_g_2126_dg3_vav,Electricity,113.06
Fans,d_g_2126_dg3_vav,Natural Gas,0
Fans,d_h_2126_dg4_vav,Electricity,89.85
Fans,d_h_2126_dg4_vav,Natural Gas,0
Fans,d_i_2126_dg5_vav,Electricity,99.26
Fans,d_i_2126_dg5_vav,Natural Gas,0
Fans,d_j_2126_dg6_vav,Electricity,109.58
Fans,d_j_2126_dg6_vav,Natural Gas,0
Fans,d_k_2126_tg1_vav,Electricity,138.03
Fans,d_k_2126_tg1_vav,Natural Gas,0
Fans,d_l_2126_tg2_vav,Electricity,115.48
Fans,d_l_2126_tg2_vav,Natural Gas,0
Fans,d_m_2126_tg3_vav,Electricity,113.1
Fans,d_m_2126_tg3_vav,Natural Gas,0
Fans,d_n_2126_tg4_vav,Electricity,96.97
Fans,d_n_2126_tg4_vav,Natural Gas,0
Fans,d_o_2126_tg5_vav,Electricity,99.43
Fans,d_o_2126_tg5_vav,Natural Gas,0
Fans,d_p_2126_tg6_vav,Electricity,114.85
Fans,d_p_2126_tg6_vav,Natural Gas,0
Fans,e_a_2126_dg_init_vav_int,Electricity,98.26
Fans,e_a_2126_dg_init_vav_int,Natural Gas,0
