,"market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, triple glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, ccf","market for curtain wall, double skin facade"
164,193.47766384765632,227.63009583918782,192.24161427656438,219.33877408704242,187.6166221056517,219.32421474429307,279.2775762726602,193.73941846261272,160.34516747946506,929.2688324332016,196.3945528488659,159.1040206637573,469.46349027481,344.3142439637482
165,171.77804961488175,212.63626111878827,171.0254996590076,196.86084656119127,166.53130167804048,196.34882414174658,232.70469800465818,172.16565909507395,140.72398043039433,850.9873677644885,179.16921680459552,139.9683267201593,446.47255759033266,305.3800187339845
166,184.4022769188045,222.02801252840527,183.5077029091708,211.01289796032228,177.4214372329445,210.83578172612235,252.8684729200931,185.1866881349942,150.26987504931185,941.6024381990692,189.1038183593364,149.37161253918114,482.7326280881558,326.13310222704627
167,175.321692849804,212.81251934252506,174.1560492278471,201.07903386744078,168.82724404390146,201.26631019630128,245.27807935357689,176.0897836966349,142.53025292739855,776.5625526647623,179.92915366630106,141.35980361460463,470.1980041713266,311.04262658776094
168,192.65832899366305,231.9183986849547,191.9567384990334,220.54219744868084,187.4838398151139,220.34353740324295,255.7521018152181,194.932496146787,159.01953660856842,784.398870509292,197.74416819831745,158.31505363822302,514.2113309054613,344.6873905509033
169,173.08719583033954,206.7716128294771,171.8817809830343,198.75504920793998,166.83886808629399,198.81909538077971,230.8994829769981,173.5835374266214,140.22985318804325,869.9716015213726,175.85804000081285,139.0194689524281,456.42800453961934,305.69006336700187
170,199.3736048867273,236.45711508049638,198.412346329264,225.68797890458097,193.998133374058,225.51242137532938,287.89074098786324,200.6684378027196,166.73917586577215,867.5284181845269,203.8846915543067,165.77395339373797,493.8611770464579,356.3264210487537
171,179.09750332667844,216.8762798391739,178.11004004057494,204.74614209205754,173.08713383840828,204.6876829535857,252.1895800928297,179.6591544563403,146.52697854780828,790.1011153264475,184.20433839594696,145.53544366896168,461.2709546326945,316.6597162352311
172,180.80894130706346,222.65063182748594,180.01000901554278,208.0282760097372,175.1956395032875,207.91157705388363,253.5061460207376,181.74336133821967,146.96758293048185,827.0659158341624,187.3795356261865,146.16535563771046,477.039542784821,318.4463151207546
173,174.45973631927777,210.50586919849272,173.640240427583,200.01348831975886,169.23304564131107,199.78614941523188,241.12179573743057,176.17441824929318,143.04860391798047,850.5963265639546,179.00010055689924,142.22572914428275,457.49291277025736,310.46103368848685
174,164.9147587777555,200.11196042139179,164.1031005062946,190.5517030479605,158.657231707952,190.11586174282243,228.2932972484134,166.0129973950812,132.12703913425634,947.5882412842888,169.101150728055,131.31203540120242,434.37903491861937,290.58568033695093
175,175.75153833854185,211.53136636577085,174.77638802667767,201.6269726038482,170.5203166299156,201.0478435907893,243.34118745583174,176.5521294110077,144.131356659951,1041.7387125187024,180.01814766315,143.15218492408115,471.8069065996226,311.70470456841014
176,207.40814022052956,247.25163533519802,206.44559017845646,235.03412027268595,200.92644287961795,234.74711519288195,273.7686700659226,208.03126226815056,172.83089381234666,1112.2953031672937,212.69784999895865,171.86437425435244,524.7106982237916,370.8068518841522
177,163.60189135269903,199.33910840003185,162.70859568275728,187.99229381970392,158.00866109848866,187.59314087507215,216.49001085047513,164.2424549653967,133.14629263012503,858.1841127713858,168.58157928915972,132.2493139928031,435.4019217432878,289.68760755664647
178,183.08930647868505,217.40872298670533,182.15656633963343,209.84992983263973,177.22150795661028,209.65340744000625,245.34623787026905,183.97055568771063,149.36925880585716,911.3932692102343,186.03422566862972,148.43267490319138,471.3799503612239,325.5860163939912
179,177.24378552119998,213.68150432513082,176.36680738189696,204.42445212211018,171.8745460152967,204.05865204086936,234.282754597612,178.36037897373257,143.386668969862,871.6617935450539,181.1782343944966,142.50607658727174,468.4310349876817,312.5891280938002
180,174.88014187114513,215.76370772120424,174.10357474922253,201.21985960559294,168.98485295783573,200.66686268278045,243.14999814272713,175.6346717855209,142.12896129571737,992.8808880502941,181.65199664956063,141.34919297245773,471.90532349981663,308.5218627849365
181,186.30909016718053,222.17206817488977,185.29641152926797,212.16433006490104,179.7328913536988,212.1799708046994,266.0879279563959,187.2373756858782,153.16846318889313,805.187360571759,190.29245985019833,152.15160911253452,472.7695421326829,331.9752220843168
182,192.54885599863172,230.31215270712323,191.69518235503443,219.11516241606597,186.7784490042944,218.85354456996038,255.60700326375974,193.51405779187874,159.48513073179282,914.4607002682951,197.4244863811333,158.62793685948364,490.01616554874073,344.43814928867573
183,163.14359325274313,202.596767920218,161.89017963975041,188.04408343400746,156.4408717244012,188.35186259348313,246.36840972057325,163.60766142917242,130.68969934301236,746.2256733689966,169.0126326003731,129.43111860148957,438.555748445139,286.3309502848629
184,177.70463166435098,220.15109564880603,176.68083593852265,203.40095766125353,171.83388900100974,203.42996048914972,233.29224494026352,178.34690724110297,144.96231160981995,866.5240908165326,185.04140311449945,143.93429536779948,450.625202155078,314.44346179776534
185,166.76637883349494,205.67149855508424,165.86902335409096,192.2075562709637,160.87363896809157,191.53655505340055,219.24995183099574,167.575215977556,134.35403129824394,1084.964302112968,172.93649502463612,133.45297583924793,435.4536835829332,292.61940299212563
186,179.20151655033007,216.49274791340372,178.27824397364952,206.17020811913486,173.24307936188134,206.01859787920142,245.77925334635393,180.25537398545958,144.96812537042186,799.7119454989692,183.51531895610225,144.04104754423878,471.8062327432484,315.4397797401619
187,185.73438346044003,223.82387548277347,184.60098443402342,212.17758272664034,179.63193607339764,212.37206168399265,246.68181094548288,186.36386763095987,152.55679657649063,820.2135973177154,190.3268945994818,151.41873187196285,489.036804547274,328.86840554785243
188,162.92598081737196,196.5720669871358,162.27062523243177,188.18271752262635,158.5217669890753,187.64792268449665,219.55208820219698,164.05120866786365,132.09331160606956,844.4509550863526,166.73269767241217,131.43525455951647,425.72651328804653,287.632124438653
189,177.39018669649346,213.1746741645623,176.31812385038873,203.14852645239242,171.966842528613,203.26601802546497,246.38172939851356,177.99033134803213,145.1426060487001,716.3203810465836,181.2724510274366,144.0661225176016,458.51870306066974,314.27713883069276
190,175.31545620741971,213.0588368737804,174.41379532448343,201.51144509387876,169.30485590120094,201.31568309365844,273.3759870770378,176.17008016864185,142.15723262900286,925.5439950921965,180.2853749112648,141.25185444956375,459.2109807979262,308.8230168829404
191,168.91941283424978,202.82583648968586,168.03972977878934,194.52313070315276,162.95044702801815,194.36063119707381,234.25588262558702,169.7090304417324,136.5586351296176,692.8848172672216,172.27233200265547,135.67532504938123,445.1109243165333,297.3977630014417
192,181.03616227447148,215.7248589581073,180.24298434100953,208.59616626041978,175.25206890057353,208.29807333041984,234.51581189036818,181.97247591924412,146.8219239779577,818.9180412126412,183.9563771692689,146.02547606177242,476.0844682903754,321.6360662779129
